index,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
BPAC3,BPAC3,ON,BTGP BANCO ON,Intermediários Financeiros,Bancos,11.94,2022-12-12,9.77,15.79,103228,137383000000,-,2022-09-30,11506100000,1920,325,-,-,-,-,-,1.5%,-,-,45.7%,062,367,-,-,0.0%,0.0%,-,16.9%,-,-,-,368818000000,,,,,42262000000,,,7154940000,,,2187660000,63070700000,100326000000,9194880000,3369110000,2482100000,1048640000
MERC4,MERC4,PN,MERCANTIL BRASIL PN,Intermediários Financeiros,Soc. Crédito e Financiamento,7.47,2022-12-07,7.10,10.70,3470,134535000,-,2022-09-30,18010000,1921,054,-,-,-,-,-,6.1%,-,-,-26.5%,039,1396,-,-,0.0%,0.0%,-,2.8%,-,-,-,312367000,,,,,251336000,,,7005000,,,-4467000,0,0,40263000,6000,9328000,0
MODL3,MODL3,ON N2,MODALMAIS ON N2,Intermediários Financeiros,Bancos,2.25,2022-12-12,2.25,5.60,12660300,1584450000,-,2022-09-30,704200000,2321,123,-,-,-,-,-,3.4%,-,-,-,010,182,-,-,0.0%,0.0%,-,5.3%,-,-,-,8044790000,,,,,1285040000,,,68252000,,,4436000,1714010000,4450290000,283598000,118555000,41109000,22824000
MERC3,MERC3,ON,MERCANTIL BRASIL ON,Intermediários Financeiros,Soc. Crédito e Financiamento,15.11,2022-10-28,14.74,24.10,329,272131000,-,2022-09-30,18010000,3885,108,-,-,-,-,-,0.0%,-,-,-26.5%,039,1396,-,-,0.0%,0.0%,-,2.8%,-,-,-,312367000,,,,,251336000,,,7005000,,,-4467000,0,0,40263000,6000,9328000,0
EUCA4,EUCA4,PN,EUCATEX PN,Madeira e Papel,Madeira,6.99,2022-12-12,6.60,11.24,323595,647407000,1140200000,2022-09-30,92619000,177,031,146,025,018,110,-265,4.0%,191,258,20.9%,395,2227,32.7%,17.1%,11.8%,12.0%,13.4%,17.7%,175,030,070,3685580000,129405000,1379030000,622198000,492793000,2062360000,2581190000,442095000,365503000,672808000,96585000,45047000,,,,,,
EUCA3,EUCA3,ON,EUCATEX ON,Madeira e Papel,Madeira,10.51,2022-12-12,10.18,17.00,20485,973426000,1466220000,2022-09-30,92619000,266,047,220,038,026,165,-398,2.4%,246,332,20.9%,395,2227,32.7%,17.1%,11.8%,12.0%,13.4%,17.7%,175,030,070,3685580000,129405000,1379030000,622198000,492793000,2062360000,2581190000,442095000,365503000,672808000,96585000,45047000,,,,,,
SUZB3,SUZB3,ON,Suzano Papel ON,Madeira e Papel,Papel e Celulose,54.89,2022-12-12,42.46,63.52,377714000,74719800000,132913000000,2022-09-30,1361260000,410,267,390,159,058,320,-116,2.4%,502,695,35.5%,1340,2053,49.5%,40.8%,38.9%,14.9%,18.1%,65.2%,281,272,036,128614000000,17866100000,36218700000,76059800000,58193700000,27951700000,46931200000,19135400000,18235700000,14198700000,6708300000,5444890000,,,,,,
KLBN3,KLBN3,ON N2,KLABIN ON N2,Madeira e Papel,Papel e Celulose,4.20,2022-12-12,3.54,6.11,1979650,23595100000,45029800000,2022-09-30,5617890000,481,262,323,121,051,329,-104,7.0%,433,617,19.5%,087,160,51.7%,37.4%,26.0%,15.8%,19.6%,54.4%,235,308,042,46125300000,6252590000,12510500000,27687200000,21434700000,9002800000,19530400000,7294630000,4901480000,5488230000,2471480000,1919850000,,,,,,
KLBN11,KLBN11,UNT N2,KLABIN UNT N2,Madeira e Papel,Papel e Celulose,21.16,2022-12-12,17.45,25.24,152680000,23774900000,45209600000,2022-09-30,5617890000,485,264,326,122,052,331,-105,7.0%,434,620,19.5%,436,801,51.7%,37.4%,26.0%,15.8%,19.6%,54.4%,235,308,042,46125300000,6252590000,12510500000,27687200000,21434700000,9002800000,19530400000,7294630000,4901480000,5488230000,2471480000,1919850000,,,,,,
KLBN4,KLBN4,PN N2,KLABIN PN N2,Madeira e Papel,Papel e Celulose,4.25,2022-12-12,3.50,4.84,8649420,23876000000,45310700000,2022-09-30,5617890000,487,265,327,122,052,333,-105,6.9%,435,621,19.5%,087,160,51.7%,37.4%,26.0%,15.8%,19.6%,54.4%,235,308,042,46125300000,6252590000,12510500000,27687200000,21434700000,9002800000,19530400000,7294630000,4901480000,5488230000,2471480000,1919850000,,,,,,
